issue,github,phase,status,priority,blocking,activation,contract_sha256,review_notes
ISSUE-0052,109,phase-05-returns-risk-portfolio,implemented_initially,P1,,,a8ce761ac69136d9daa4cde6738d9fb02af397b7e1d3c9c577da8537c5ee082c,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0053,111,phase-01-governance-scope,planned,P1/P2,,,458b99480cb33128297147f07ae722ae86ce8949c93d11e55199617152c3c307,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0054,113,phase-02-data-policy-identity,implemented_initially,P1/P2,,,0def1720a551e8cf0d4f735cd12917cd05375614bc3d9f4204bd6cc9126a5b9c,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0055,115,phase-02-data-policy-identity,implemented_initially,P2,,,22a22f87c0238ced749359bf4c31aa06f191de12c12516a6a46053d40ca8a00d,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0056,117,phase-02-data-policy-identity,implemented_initially,P2,,,2d6c377ed21933d54c7c909ff2b10bc0a041118d793a000250a6bfbf52ac4d60,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0058,121,phase-01-governance-scope,planned,P2,,,56de9a478f2fbe57e6e2e99f4db48d72afd21a9cf95eb33a9aea975533b37b52,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0060,124,phase-05-returns-risk-portfolio,implemented_initially,P1,,,57dfdeab3c9d41829c93d4832fee1267a9ee7941f484d9112c03bb7803abcd16,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0061,126,phase-01-governance-scope,research_only,P3,,,d4a9b3c30ad3d71d0a978078876f7aa94ef36474e670c724085243f074a7a3bb,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Research-only; preserve legacy successor research/tests without promoting research to implementation authority.
ISSUE-0062,128,phase-01-governance-scope,research_only,P3,,,e3d1b8f77030a905dfd011c93226203b5fdf1ab3c2ffb8e4086e88c870c1e353,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Research-only; preserve legacy successor research/tests without promoting research to implementation authority.
ISSUE-0065,134,phase-05-returns-risk-portfolio,implemented_initially,P2,,,7f489922d4be5f049692271be3bbe579efc7bfb4511fd836c1eb402291b7f668,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0066,136,phase-07-backtest-paper-execution,planned,P2,,,30a2f043f4162af310911a53bd5b7cd4d86d42ca8f3a9326fafca59d89a0ab59,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0067,137,phase-01-governance-scope,planned,P0/P1,,,e2785a48ba7c055d31e0d399704adbcd218a126a1f274ea21dd71b60ae386b60,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Package implementation-complete wording and current planned lifecycle are different facts; inspect existing score-history lane.
ISSUE-0079,219,phase-01-governance-scope,hardening_required,P0,ISSUE-0145 ISSUE-0149,,6bf2c0d348142d2555d643ffbec655fe5b8302c1b5c59d63ea8f6cc7ccf4b11d,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0090,230,phase-02-data-policy-identity,implemented_initially,P0/P1,ISSUE-0072 ISSUE-0075,,c924c201f70c7db0da157c99c0d7a37d4dd903a3de2d7d1a61eb4848ae465cfe,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0092,232,phase-03-stock-research,implemented_initially,P0/P1,ISSUE-0074 ISSUE-0091,,a50c1848fa28688385ad03b1b96a67ac57375fc764568175e777a4503a58804e,Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0093,233,phase-03-stock-research,implemented_initially,P0/P1,ISSUE-0091,,e6bbb7338ae3faf4c936ed0257131f38dc065519b61fd6b12830287b23f7fa56,Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0094,234,phase-03-stock-research,planned,P0/P1,ISSUE-0084 ISSUE-0091,,016a67ee7c5fac72bc70cb61dcfee4c0a25dd2210eac27e06ff0f44bd53ca718,Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0096,236,phase-03-stock-research,implemented_initially,P0/P1,ISSUE-0088 ISSUE-0091,,b470bcde8b80be37c7ba6f3516ef862fc7c22adcf6c14135ff25250521f700f0,Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0097,237,phase-03-stock-research,implemented_initially,P1,ISSUE-0091 ISSUE-0092,,1daa16d4b7539a8ac23bc67409a429dcfb4aa4932a20d8dcc7382ca1f47dab0c,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0105,245,phase-04-etf-research,planned,P0,ISSUE-0082 UPDATEV2-0016,,82354d154b82d5153bddde8504252319247ef49f0328859d11d26e0c0942b589,1 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. Integrated ISSUE-0082 still requires declared edge evidence; contextual links do not waive it.
ISSUE-0106,246,phase-04-etf-research,implemented_initially,P0/P1,ISSUE-0128,,527cbf18c58be61155bbffd0f8947613990cec1ee231c78d00f3a157bf6a734f,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0107,247,phase-04-etf-research,planned,P1/P2,ISSUE-0088 ISSUE-0104,,e958e132458fe4e18a6edb56bc720f4384859497df017dade675644ec76d9929,Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0108,248,phase-05-returns-risk-portfolio,planned,P0,ISSUE-0074 ISSUE-0096 ISSUE-0105,,38c3942c282e653ac9d2cd33fca5498a891131aeb59ff13d3eae957c35380fb0,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0109,249,phase-05-returns-risk-portfolio,implemented_initially,P0/P1,ISSUE-0108,,b72e5fca01c8ba67c14b81af2fcb5b08af0a77ffae23b101f7e83475eda1e8a1,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0113,253,phase-05-returns-risk-portfolio,implemented_initially,P0,ISSUE-0021 ISSUE-0110 ISSUE-0111,,f1454f29af8d3a12902c2c8fc603bfb0781515ac9991afbc36eaa2e0cae11286,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0114,254,phase-05-returns-risk-portfolio,implemented_initially,P0/P1,ISSUE-0113,,b72a2cef7f14eed000b0e28ea8abd34ffa504a858b83ae1ccf0acc45d7ef1221,2 normative amendment(s) remain binding on issue card. Normative amendments narrow tax/lot features to optional bookkeeping; no tax-optimisation authority implied.
ISSUE-0116,256,phase-05-returns-risk-portfolio,implemented_initially,P0/P1,ISSUE-0021 ISSUE-0059,,cd2f9fc7820b17b2aaf72f7e6fd3fb33b0c77e52b116752311122dfbca7ffcb9,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0117,257,phase-06-model-research,implemented_initially,P0,ISSUE-0027 ISSUE-0075,,5eb54bd178c1ccec476352622bfae4432e3386ae387533e5dbc68ecf85b96222,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0118,258,phase-06-model-research,implemented_initially,P1,ISSUE-0117,,b4e2a051976525682a63f8cf2d7887e7461fde50de30bd50d28136b9c3618b3b,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0119,259,phase-06-model-research,implemented_initially,P0,ISSUE-0073 ISSUE-0117,,e43c9219c8ae4c5ce3421e253d63dac1e847704352ac2f00ad503c4778992b44,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0120,260,phase-06-model-research,implemented_initially,P0,ISSUE-0119,,338a838879b282cdc870e80b9bd7c5c5e3a28100c5036a50c8c52d3f65ec12dc,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0121,261,phase-06-model-research,implemented_initially,P0/P1,ISSUE-0117 ISSUE-0120,,68c19068be865e6e20aadd750715e1bd8c5e675d345c904d1373d09ef3501fb6,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0122,262,phase-06-model-research,implemented_initially,P1,ISSUE-0120,,d502b68d6a1d653d152e5c84f2ca2cb10ab5b994018ca7a5699456cfb0bbee06,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0123,263,phase-06-model-research,planned,P0/P1,ISSUE-0108 ISSUE-0120,,bf260dae26f9830b10c24eb07d1898acfa5640c3b0ad376d78d7e7316064a74a,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0124,264,phase-06-model-research,planned,P0/P1,ISSUE-0117 ISSUE-0123,,8ce0ae66bafc132a59c1b7ebf8c3b58121cea03cf3e8b470b33e47e6b6c76738,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0125,265,phase-07-backtest-paper-execution,implemented_initially,P0,ISSUE-0028 ISSUE-0050,,a4fee9b075575afa5d4ed43953867c6047c4b9438071953b4f58b9373e79e7a5,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0126,266,phase-07-backtest-paper-execution,planned,P0,ISSUE-0073 ISSUE-0082,,c9dc783f855fff1cf6fa92aef60ae36b8f1437ab7821e97f6bd344e9770bd5a5,1 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0127,267,phase-07-backtest-paper-execution,planned,P0,ISSUE-0072 ISSUE-0084,,86695818b50acc2004d447383288d8b35e5d34fc672ac7e95f63152c6794bae1,2 normative amendment(s) remain binding on issue card. Normative amendments retain optional tax bookkeeping and causal replay; depth-5 downstream bottleneck.
ISSUE-0128,268,phase-07-backtest-paper-execution,implemented_initially,P0/P1,ISSUE-0064,,0a91e24df14c2dbb49cade458c332e6fcd5b99656b4860303523e133d136ce1b,2 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0131,271,phase-07-backtest-paper-execution,planned,P0/P1,ISSUE-0066 ISSUE-0127,,3c3b70c21463941c5e87bc9715b8c78161b3158abbf59a64f24477a14e55b35c,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0132,272,phase-07-backtest-paper-execution,planned,P0,ISSUE-0131,,cf3a3f5ae301938c02b8addfed02a0b2023e087f8ca96e05237994de6606f9bb,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0133,273,phase-07-backtest-paper-execution,planned,P0,ISSUE-0132,ISSUE-0152,ed75b563bad63011d5f17350b472233d64d59658471badd965d3f36f406a5445,1 normative amendment(s) remain binding on issue card. Disabled broker interface scaffolding only; activation dependency on 0152 never enables trading in this remediation.
ISSUE-0134,274,phase-07-backtest-paper-execution,planned,P1,ISSUE-0116 ISSUE-0131,,22e85569c16651d6143dd5091cabdc28e389b15cae7cd1737afd9909cea436e6,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0135,275,phase-07-backtest-paper-execution,planned,P0,ISSUE-0131 ISSUE-0132,,3e8c6064ad32699c58cb5c7adbec5e168154ea758e61d9a517d5467d452b915c,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0137,277,phase-08-frontend-api,implemented_initially,P0/P1,ISSUE-0136,,be20c0b8d5e1846413f6bc7b786880d147f9ed9495b5aeb3f4303bfe864594a3,2 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0138,278,phase-08-frontend-api,implemented_initially,P0/P1,ISSUE-0137,,c04305b4823695fca65f36bdfadb036a48ca7d83b1122558a713e1c10ce80147,3 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0139,279,phase-08-frontend-api,implemented_initially,P0/P1,ISSUE-0136 ISSUE-0137,,6b03561cc3c81ecdbb03a62482f750b02c9e54ca45d71346a7651011905b85cb,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0140,280,phase-08-frontend-api,implemented_initially,P1,ISSUE-0137,,c859cacc80423c44bc18f3447d06cccc39beddc10bac9663bf0aea6234ae65a2,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0142,282,phase-09-quality-release-security,planned,P0/P1,ISSUE-0074 ISSUE-0127 ISSUE-0132,,72a803528ef0d8aba720aaad31da2088f4ae842615b32770512df93b502008c4,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0143,283,phase-09-quality-release-security,hardening_required,P0/P1,ISSUE-0141,,820056d294f39ba5520b6328599ee70197da1c7494dac7264f89d782f9bf5a2e,1 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0147,287,phase-10-audit-documentation-governance,planned,P0,ISSUE-0075 UPDATEV2-0028,,7c481baa940ed770205cac3cf8e0f91ddb8eaa67e92f185481f139bc7e8d4030,1 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0148,288,phase-10-audit-documentation-governance,planned,P0/P1,ISSUE-0043,,01ade6e382bd160562d62021d925b358a03bccaf699898680252049ea5bd9d02,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0149,289,phase-10-audit-documentation-governance,hardening_required,P0,ISSUE-0080,,381236c1bbfecaaeb43a28079fe40ee3b2ff5c659b61e99a8849e31256033e75,"2 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. Evidence-only edge blockers remain binding; 19 unfinished descendants, depth 9; do not invent interface evidence."
ISSUE-0150,290,phase-10-audit-documentation-governance,implemented_initially,P0/P1,ISSUE-0090 ISSUE-0120,,32356062e0ba7faac35e17a99d235067239f88c4cee6c87f8b3fe3c899393cb9,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0151,291,phase-10-audit-documentation-governance,hardening_required,P1,ISSUE-0078,,52ec55e6680762003afdc7d32e41af9b661ae140e255b58f81563fb4df1eca33,2 normative amendment(s) remain binding on issue card. Integrated parents do not satisfy unresolved edge-evidence requirements. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0152,292,phase-11-certification,blocked,P0,,,f78022ca3c72fbbc26a136ab2b629a45450e0fc8219eb9a15690c15d3ac66913,3 normative amendment(s) remain binding on issue card. Explicitly blocked despite dependency-ready projection; capability certification and parity prerequisites need semantic migration.
ISSUE-0157,436,phase-05-returns-risk-portfolio,planned,P0/P1,ISSUE-0098 ISSUE-0108 ISSUE-0109 ISSUE-0112 ISSUE-0120 ISSUE-0123 ISSUE-0154 ISSUE-0155 ISSUE-0156,,07c4f3b5cd5be0e6b41e0e582259c72ad9c79557be19719a30208825b2fb4f4f,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0158,437,phase-08-frontend-api,planned,P1,ISSUE-0136 ISSUE-0137 ISSUE-0138 ISSUE-0139 ISSUE-0140 ISSUE-0153 ISSUE-0154 ISSUE-0155 ISSUE-0156 ISSUE-0157 ISSUE-0161 ISSUE-0162,,766a1a9fb4a67ab64e11069b29c79bfe836265a0ab2e2e3d3908774b834eac60,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0159,438,phase-05-returns-risk-portfolio,planned,P0,ISSUE-0084 ISSUE-0085 ISSUE-0127,,599eb37e60938e17e7dc1a782b15b2d44d837f9da8ab2d25dadf65f3daf516dd,1 normative amendment(s) remain binding on issue card. Normative amendments narrow tax/lot scope; keep optional bookkeeping and missingness explicit.
ISSUE-0160,439,phase-08-frontend-api,planned,P0/P1,ISSUE-0139 ISSUE-0159,,2d1cfdfcc644d3ca39bf33270a174e2198a4c30ce498699c82877b68f1630504,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0161,440,phase-08-frontend-api,planned,P0/P1,ISSUE-0074 ISSUE-0127 ISSUE-0138 ISSUE-0139 ISSUE-0159,,ff0f5cf91763728e93013efb9932a19c3b1e9f60040171e6d3d8ead7db6de90f,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0162,441,phase-05-returns-risk-portfolio,planned,P1,ISSUE-0022 ISSUE-0083 ISSUE-0105 ISSUE-0127 ISSUE-0153,,2793c869c0e011231257fc291b2f1cc9538144d02849ca93dbaab7e3f95f66a7,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0163,442,phase-08-frontend-api,planned,P1,ISSUE-0024 ISSUE-0084 ISSUE-0127 ISSUE-0153 ISSUE-0158 ISSUE-0161,,a93c288a6441c063227de9edd338ce4a20df2cf6f7dfc9ff3affd34a67aa5d2c,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0164,443,phase-05-returns-risk-portfolio,planned,P1,ISSUE-0113 ISSUE-0114 ISSUE-0115 ISSUE-0116 ISSUE-0127 ISSUE-0161 ISSUE-0162 ISSUE-0163,,2b56357fdeffd93b23bc21b523d56e5f71af50f80207012e439df2aff908f72e,No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0165,444,phase-08-frontend-api,planned,P0,ISSUE-0018 ISSUE-0020 ISSUE-0074 ISSUE-0077 ISSUE-0081 ISSUE-0126,,3c4f0456187c4c2f030a224f150ef507c292fbb9f0a7b47a16f788913272a1b4,2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0166,445,phase-05-returns-risk-portfolio,planned,P0/P1,ISSUE-0020 ISSUE-0108 ISSUE-0109 ISSUE-0110 ISSUE-0111 ISSUE-0112 ISSUE-0113 ISSUE-0128 ISSUE-0157 ISSUE-0165,,f5025a615195d773f997fa72469c7926ae68db33ac386efedabf24514084a305,1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0167,446,phase-07-backtest-paper-execution,planned,P0,ISSUE-0085 ISSUE-0114 ISSUE-0127 ISSUE-0130 ISSUE-0131 ISSUE-0132 ISSUE-0133 ISSUE-0134 ISSUE-0135,,b6a0b125e1647def746c9520a9706beb28ea91353e3cddd3ea8b39e0c834a77a,SOURCE DEFECT: downstream 0132/0133/0134/0135 incorrectly parsed as blockers; also mislabelled bulk-screening capability. Guarded migration remains open.
