issue_id,title,status,priority,current_gap,required_change,why,dependencies,completion_evidence,free_no_quota_policy
ISSUE-0025,Free news and filings dashboard,Implementation complete; closure pending,P1,Official filings and ephemeral news are still combined in a broad context workflow.,Separate durable official evidence from best-effort news; add archive/deduplication/entity mapping/terms controls and integrate with contradictions and events.,"Filings can support fundamentals, while news is incomplete, biased and often unavailable without paid licences.",ISSUE-0007; ISSUE-0054; ISSUE-0087; ISSUE-0149,"Core analysis works with no news feed; all displayed items carry source, availability and context-only authority.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0026,Macro regime dashboard,Open,P1/P2,Macro series and regime labels are not yet vintage-aware or connected to portfolio scenarios.,"Build a local macro/factor warehouse with release/vintage metadata, transformations, country/currency mapping, uncertainty and scenario links. Keep macro as conditioning/context unless validated.",Current revised macro data can cause look-ahead and a regime label alone is not a return forecast.,ISSUE-0073; ISSUE-0088; ISSUE-0115,"Historical regimes use decision-time vintages and every series exposes source, transformation and revision history.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0027,Forecast lab page,Open,P1,Forecast rows and basic calibration do not constitute a complete model research workflow.,"Expand to experiments, baselines, walk-forward splits, uncertainty, conformal calibration, drift, challenger status, resource use and governed promotion.","TimesFM/Toto and other models must demonstrate finance-specific, net-of-cost, forward value rather than general benchmark performance.",ISSUE-0117–ISSUE-0124; ISSUE-0139,"No model gains authority without adequate matured observations, baseline comparison and immutable validation evidence.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0028,Backtest lab upgrade,Open,P0/P1,"The existing vectorised rebalance backtest is not an order-level, point-in-time institutional validation system.","Add point-in-time universes/fundamentals, deterministic order events, nested walk-forward validation, trial disclosure, multiple-testing correction, capacity, taxes, actions and reproducibility.","Plausible historical equity curves can be produced by leakage, survivorship bias and unrealistic fills.",ISSUE-0120; ISSUE-0125–ISSUE-0128,Backtests fail closed on leakage or missing execution evidence and reproduce from an immutable audit packet.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0029,Strategy template builder,Open,P1/P2,"Templates are not fully tied to canonical data, model, optimiser, risk and authority versions.","Make templates versioned compositions of approved features, scores, forecasts, portfolio/risk and execution policies. Record complexity, trials and stage authority.",A user-configurable blend can otherwise bypass validation or hide an overfit strategy.,ISSUE-0074; ISSUE-0075; ISSUE-0130,"Every template is reproducible, benchmarked, validated and explicitly authorised per stage.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0030,Decision journal,Open,P0/P1,"The journal is not yet connected to alternatives, proposals, models, orders and later attribution.","Store accepted/rejected/deferred decisions, evidence, alternatives, confidence, invalidation rules, review dates, portfolio context and immutable links to model/proposal/order IDs.",Long-term improvement requires learning from both actions and decisions not taken.,ISSUE-0010; ISSUE-0057; ISSUE-0129; ISSUE-0147,"Append-only history, checksum protection, privacy controls and outcome linkage pass.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0031,Paper trading module,Open,P1,"The issue currently describes a local PnL tracker, not a realistic paper broker.","Implement order/fill lifecycle, cash, fees, FX, corporate actions, partial fills, cancellations, calendars, accounting, restart recovery and reconciliation.",Forward evidence must test the complete decision and operational chain before capital is at risk.,ISSUE-0125; ISSUE-0127–ISSUE-0130,"Accounting invariants, deterministic replay, no-network isolation and full paper E2E tests pass.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0032,Future broker-execution architecture document only,Open,P2,"It is limited to documentation and assumes no live execution, while the requested end state has staged automation.","After the scope ADR, document and gate broker read-only, draft-order and capped-live stages using official APIs; keep order submission disabled until prerequisites pass.","Execution must be introduced through explicit, reviewable stages rather than a hidden scope change.",ISSUE-0070; ISSUE-0131–ISSUE-0135,"The architecture is approved, no unauthorised live path exists and every stage has separate prerequisites and controls.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0033,Alerts and review reminders,Open,P2,Alerts lack a unified typed event and escalation system.,"Add severity, confidence, deduplication, snooze/expiry, alert backtesting and portfolio/order/model incident rules. Only explicit policies may turn an alert into a block.",Unbounded alerts create noise; hidden alerts create risk.,ISSUE-0024; ISSUE-0077; ISSUE-0132; ISSUE-0135,"Deterministic generation, persistence, deduplication and escalation tests pass without alert storms.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0034,What changed since last run page,Implementation complete; closure pending,P1,The page does not yet explain all upstream reasons for a changed result.,"Add source revisions, corrections, classification, formula/model/policy versions, portfolio targets, paper/order state and causal dependency paths.",Users must distinguish a market change from a data correction or formula change.,ISSUE-0075; ISSUE-0090; ISSUE-0116; ISSUE-0134,Every change links to an exact upstream cause and affected downstream artefacts.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0036,Import/export centre,Implementation complete; closure pending,P1/P2,"The centre lacks the final breadth of broker, bulk, schema-mapping and encrypted portability workflows.","Add broker/exchange statements, bulk datasets, reusable mapping templates, dry-run diffs, resumable imports, rollback and privacy-aware portable backups.","Local imports are the only globally viable quota-independent route for prices, positions and licensed user data.",ISSUE-0081; ISSUE-0086; ISSUE-0127; ISSUE-0146,"All imports are previewed, atomic, idempotent, reversible and reconciled.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0037,Config editor UI,Open,P1/P2,Direct YAML concepts remain and configuration can potentially change authority without a complete policy preview.,"Use typed schemas, migrations, safe defaults, staged edits, validation, secret-vault integration and before/after policy impact previews.",Configuration is executable policy in a finance system and must be controlled like code.,ISSUE-0075; ISSUE-0076; ISSUE-0144,"Invalid, incompatible or authority-expanding changes cannot be committed without required approval.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0038,Local database / storage migration plan,Open,P2,It is only a plan; file stores do not meet the final transactional and bitemporal requirements.,"Convert it to an implementation epic for DuckDB/Parquet analytics plus SQLite transactional state, migrations, integrity, retention, compaction and export compatibility.","Journals, experiments, portfolios, orders and reconciliation need ACID state while large histories need columnar analytics.",ISSUE-0072; ISSUE-0073; ISSUE-0090,"Production data is migrated, verified, recoverable, benchmarked and used by every final workflow.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0039,Performance and caching audit,"Open, partial",P1/P2,There are no comprehensive quantitative performance budgets or regression gates.,"Define startup, query, scoring, large-universe, training, memory, package-size and storage budgets; profile before choosing pandas/Polars/DuckDB optimisations; track cache lineage.",Optimisation without measured budgets can trade correctness for speed or move bottlenecks.,ISSUE-0077; ISSUE-0078; ISSUE-0151,Repeatable benchmarks pass on declared minimum/recommended hardware and numerical equivalence is preserved.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0040,Error handling and recovery centre,"Open, partial",P1,"Recovery coverage is incomplete for databases, jobs, models, imports and broker divergence.","Add resumable jobs, corrupt-store quarantine, last-known-good generations, model/subprocess failure, provider outage, broker mismatch and incident runbooks.",A readable error is not enough if the prior valid state can be lost or the system retries into unknown state.,ISSUE-0077; ISSUE-0089; ISSUE-0135; ISSUE-0146,Fault-injection tests prove state preservation and safe recovery for each critical workflow.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0041,"Accessibility, responsive layout and table usability",Implementation complete; closure pending,P1/P2,Final workspaces and high-density tables are not yet covered by a complete accessibility standard.,"Complete WCAG-oriented keyboard, focus, screen-reader, high-contrast, reduced-motion, zoom and virtualised-table testing under frontend v2.","A dense analytical application must be usable without relying on colour, precise pointing or a wide display.",ISSUE-0137; ISSUE-0140; ISSUE-0143,Documented accessibility checks pass across all final workspaces and package modes.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0042,"Charts, tables and CSV export improvements",Implementation complete; closure pending,P1/P2,"Charts are not yet a consistent uncertainty-, lineage- and high-volume-capable analytical system.","Add linked charts, aligned currency/timezone/horizon controls, confidence bands, coverage overlays, virtualisation and exports that include exact query/filter/version context.",Visuals and exports must be numerically identical and cannot hide missing evidence.,ISSUE-0138; ISSUE-0090; ISSUE-0147,Representative charts/tables/export round trips reconcile and pass large-universe and accessibility tests.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0043,"User manual, glossary and in-app explanations",Open,P2,"Current help does not cover the final methodology, operations, limitations and staged trading system.","Add task-based user guidance, score/valuation/risk methodology, model cards, sector/ETF adapters, data licences, paper/live operations, incidents and reproducibility tutorials.","Advanced calculations are unsafe if users cannot distinguish evidence, assumptions, uncertainty and authority.",ISSUE-0148; ISSUE-0149,"Every final feature has current user, developer, methodology and limitation documentation.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0044,"Backup, restore, version and changelog",Implementation complete; closure pending,P1/P2,"The existing backup workflow is not yet the final encrypted, database-aware disaster-recovery system.","Add incremental encrypted backups, retention, consistency checks, signed metadata, key recovery, clean-machine restore drills and schema-version compatibility.","Local research, journals and account records are valuable and sensitive; backup success must be proven rather than assumed.",ISSUE-0145; ISSUE-0146,A clean machine restores a verified supported-version backup and all canonical stores reconcile.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0045,UI semantic locators and visual smoke tests,"Open, partial",P1,Flet canvas/DOM limitations still force some coordinate and screenshot-only verification.,"Create page-object contracts, accessibility locators, deterministic fixtures, visual baselines and cross-resolution/browser tests; replace coordinate actions wherever possible.","UI claims require repeatable user-point-of-view proof, especially for order and recovery actions.",ISSUE-0136; ISSUE-0143,"All critical journeys run repeatably with stable locators or a documented, tested visual fallback.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0046,Monthly decision template: basket vs benchmark vs cash,Open,P1/P2,"The template is not connected to expected-return distributions, portfolio risk and paper evidence.","Drive it from versioned expected returns, optimiser constraints, costs, events, capacity and forward evidence; always show no-action, benchmark and cash alternatives.","Monthly long-horizon decisions require portfolio context, not a simple ranked basket.",ISSUE-0108; ISSUE-0112–ISSUE-0115; ISSUE-0130,"The template shows gross/net distributions, assumptions, constraints and later paper outcomes.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0047,Feature-driver explanations for every evidence component,Implementation complete; closure pending,P1,"Current driver text lacks full peer, history, uncertainty and sensitivity context.","Add peer percentile, historical contribution, coverage, uncertainty, interaction and counterfactual sensitivity while avoiding causal claims.",A score is trustworthy only when every contribution reconciles to the exact canonical formula.,ISSUE-0074; ISSUE-0098; ISSUE-0138,Displayed explanations and exported component contributions reconcile exactly to the canonical engine.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0048,Strategy complexity and overfitting penalty metadata,Open,P1,Metadata does not yet retain every attempted trial and effective search burden.,"Store all trial return series, features, parameters, thresholds, variants, selection method, code/data hashes, DSR/PBO/multiple-testing results and researcher decisions.",A selected strategy can look strong only because many discarded alternatives were hidden.,ISSUE-0120; ISSUE-0122; ISSUE-0147,No strategy can be promoted without complete trial disclosure and validated complexity/overfit diagnostics.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0049,"Worst-day, loss-cluster and tail-event diagnostics",Open,P1,"Current payoff diagnostics do not cover expected shortfall, tail dependence and portfolio/factor contribution.","Add worst windows, drawdown duration, expected shortfall, loss clustering, tail dependence, liquidity stress and factor/sector contribution with bootstrap uncertainty.",Long-term strategies can be dominated by a few crisis periods even when average metrics look acceptable.,ISSUE-0111; ISSUE-0115; ISSUE-0128,"Instrument, strategy and portfolio diagnostics enforce minimum samples and show confidence intervals.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0050,Operational evidence panel for next-open/decision-price realism,Open,P1,"The panel is not connected to real calendars, order types, spreads, gaps or realised fills.","Use the canonical session service and order engine; show decision, arrival, next-open/close, spread, auction, expiry and realised paper/live fill evidence.",Same-bar or stale-price assumptions can invalidate otherwise sound analysis.,ISSUE-0085; ISSUE-0125; ISSUE-0128; ISSUE-0134,Simulation and real execution share one timing contract and no fill can precede its valid order/session.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0051,Cash proxy and risk-free/defensive comparison everywhere relevant,Open,P1/P2,"Cash comparisons are not yet currency-, horizon- and vintage-matched.","Use official currency-specific risk-free curves/proxies, declared reinvestment, inflation context and explicit unavailable states.","An investment should be compared with realistic alternatives, not only a risky broad benchmark.",ISSUE-0088; ISSUE-0112,"Every comparison is point-in-time, total-return and currency consistent.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0052,Correlation clustering and factor-crowding warnings,Implementation complete; closure pending,P1,"Clustering is not fully integrated with look-through holdings, factor risk, scenarios and optimiser constraints.","Connect clusters to the canonical risk model and historical holdings; quantify uncertainty, stability and portfolio risk contribution.",Apparently diversified high-ranked instruments may represent one underlying theme or factor bet.,ISSUE-0105; ISSUE-0110; ISSUE-0113; ISSUE-0115,"Warnings reconcile with holdings/factor exposures and report sample period, coverage and uncertainty.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0053,What matters today digest,Open,P1/P2,The digest is not yet a complete prioritised action queue across research and operations.,"Generate it from typed alerts, source revisions, events, model drift, portfolio risk, proposal state, paper/live incidents and recent recovery/export status.",Users need a concise start point without losing the evidence behind urgency.,ISSUE-0033; ISSUE-0034; ISSUE-0139,Every digest item links to evidence and remains non-promotional and non-executable unless an explicit control policy applies.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0054,Point-in-time news/sentiment validation rules,Implementation complete; closure pending,P1/P2,"Correction, retraction, archive and timestamp-precision states remain incomplete.","Add article versions, corrections, retractions, timezone precision, archive availability, deduplication and mapping confidence. Reject ambiguous historical availability.",News leakage and silent revisions can make backtests appear predictive.,ISSUE-0073; ISSUE-0025; ISSUE-0149,Chronology tests prove no item is visible before actual availability and all revisions remain recoverable.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0055,"Optional free provider research/stubs: SEC EDGAR, FRED, Stooq, RSS",Implementation complete; closure pending,P2,"The issue groups sources with very different quota, authority and legal characteristics.","Split source tiers. SEC bulk and user/local files are mandatory-capable; FRED API, Stooq and RSS are optional/best-effort unless cached snapshots are supplied. Use World Bank, Eurostat, ECB and official bulk where appropriate.",“Free” does not mean unrestricted or suitable as a mandatory dependency.,ISSUE-0080; ISSUE-0081; ISSUE-0087; ISSUE-0088,"Every provider exposes tier, licence, quota, cache and fallback status and the mandatory core works with it disabled.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0056,Data-frequency suitability and unsupported-asset guardrails,Implementation complete; closure pending,P2,"Guardrails do not yet cover all session, horizon, corporate-action and order-policy combinations.","Add capability rules by instrument/listing, calendar, data frequency, leverage, price state, forecast horizon, model and order type.","Unsupported products must fail closed consistently at import, analysis, backtest and order stages.",ISSUE-0076; ISSUE-0085; ISSUE-0130,A shared capability service blocks or warns every unsupported combination across all surfaces.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0057,Paper/forward evidence diary,Open,P1,The diary is not yet built on immutable decision-time manifests or the complete paper broker.,"Freeze data, formula, model, portfolio, policy and proposal hashes; mature configurable outcomes; separate observation-only proposals from accepted paper orders.","Historical backtests are not forward evidence, and accepted trades alone create selection bias.",ISSUE-0075; ISSUE-0129; ISSUE-0147,"All proposals, including rejected/deferred ones, retain immutable snapshots and deterministic matured outcomes.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0058,Closed-source/promotional-claim detector for imported notes,Open,P2,The rule set is not a complete structured evidence review and can generate false confidence.,"Extract claims and check source, licence, method, benchmark, drawdown, costs, sample, reproducibility and conflicts; require human override and measured false-positive/negative performance.",Marketing claims and screenshots are common but are not reproducible evidence.,ISSUE-0010; ISSUE-0149,"A labelled test corpus, human-review audit and zero direct authority are demonstrated.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0059,Benchmark-relative sector/theme attribution beyond single benchmark beta,Implementation complete; closure pending,P1/P2,Attribution remains instrument-level and is not a complete factor/currency/portfolio decomposition.,"Migrate to the multi-factor risk and attribution model, include ETF look-through and reconcile instrument, sector, factor, currency and residual contributions.","Apparent alpha may be compensation for sector, currency or style exposure.",ISSUE-0105; ISSUE-0110; ISSUE-0116,Attribution reconciles to portfolio return and reports residual and coverage.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0060,Strategy rejection tests,Open,P1,Tests currently assume all broker execution is forbidden.,Keep unsafe strategies and LLM/news-only authority rejected; replace blanket broker-code rejection with stage/limit/approval checks from the new authority model.,The final system needs controlled execution without permitting silent authority escalation.,ISSUE-0008; ISSUE-0070; ISSUE-0132; ISSUE-0133,"No plugin, model, strategy or configuration can bypass the staged authority state machine.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
