issue_id,title,epic,priority,evidence_grade,problem,why,implementation,data_and_dependencies,acceptance_criteria,tests_required,ui_requirement,security_and_audit,dependencies,free_no_quota_policy
ISSUE-0080,"Enforce a mandatory no-subscription, no-vendor-quota local-first data policy",Data programme,P0,High,The requirement for a free unrestricted core conflicts with keyed or commercially limited providers.,"Completion must be possible without recurring fees, API keys or per-call vendor quotas, while acknowledging lawful fair-use and broker limits.","- Define source tiers: local/user import, official bulk, official open API cached snapshot, best-effort unofficial and optional commercial.
- Permit only the first three tiers to be mandatory.
- Require offline replay from immutable cache for release tests.
- Document fair-use schedules; never claim that remote hosts have no throttling.
- Make broker/exchange costs and limits explicit external exceptions.","- SEC/Companies House bulk, Eurostat, World Bank, ISO MIC, official filings and user/broker imports.","- Core analysis works with all optional providers disabled.
- Every metric declares minimum source tier and fallback.
- Quota exhaustion cannot corrupt or silently reduce authority.
- UI distinguishes free software from external trading/data costs.","- No-network release test.
- All-optional-disabled test.
- Rate-limit/quota failure tests.
- Licence-policy tests.","Provider Status and onboarding show source tier, cache status and optionality.","Terms/licence snapshots, polite access controls and redacted credentials.",ISSUE-0070; ISSUE-0076,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0081,"Build a resumable bulk downloader, content-addressed cache and delta updater",Data programme,P0,High,Large official datasets require robust acquisition rather than repeated row-level API calls.,"Bulk snapshots reduce quota dependence and make data reproducible, but partial or changed downloads can corrupt analysis.","- Support HTTP range/resume, ETag/Last-Modified, checksums, manifests, mirrors and retry backoff.
- Store raw files content-addressed and never mutate them.
- Parse into staged generations, validate, then atomically promote.
- Support full snapshots plus deltas and retention/compaction.
- Record source terms, retrieval time and expected update schedule.","- requests/httpx and standard ZIP/TAR parsers.
- ISSUE-0077 jobs and ISSUE-0072 storage.","- Interrupted downloads resume or restart safely.
- Identical content is deduplicated.
- Changed remote content creates a new version and downstream invalidation.
- No partial parse is promoted.","- Truncated/changed-server fixtures.
- Checksum mismatch tests.
- Resume/idempotency tests.
- Archive-bomb tests.","Import Centre and Data Health show download, stage, validation and promotion.","Size/decompression limits, path traversal protection, allow-listed hosts and content-type validation.",ISSUE-0072; ISSUE-0077; ISSUE-0080,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0082,"Create a global entity, instrument, fund, share-class and listing identity master",Data programme,P0,High,"Ticker-centric identity cannot safely reconcile companies, funds, share classes, exchanges, currencies and corporate events.",Every analytical and trading record must refer to a stable object even when tickers or listings change.,"- Model legal entity, security/instrument, fund, share class and listing separately.
- Store ISIN, LEI, CIK, national IDs, ticker, MIC and lawfully available aliases.
- Track valid-from/to, successor/predecessor, mergers, delistings and confidence.
- Use deterministic matching plus a human-review queue.
- Import ISO MIC and public identity sources; never invent identifiers.","- ISO 10383 MIC list.
- SEC submissions.
- GLEIF/local LEI files where terms permit.
- User mappings.","- All provider rows resolve or remain explicitly unresolved.
- Duplicate/conflicting identities are quarantined.
- Historical listings remain queryable after ticker changes.
- Orders reference a listing while research references canonical instrument/entity.","- Identity fixture corpus.
- Fuzzy-match false-positive tests.
- Corporate-event migration tests.
- Duplicate/concurrency tests.","Universe and Instrument pages show the identity graph, confidence and overrides.",Manual overrides are signed/audited; identifier sources and licences retained.,UPDATEV2-0011; ISSUE-0073,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0083,"Implement automatic asset, sector, industry and strategy classification with confidence",Data programme,P0/P1,Moderate,"User-added instruments are not fully assigned to the correct stock sector, ETF strategy or sub-area.","Sector-specific algorithms and peer comparisons depend on accurate, explainable classification.","- Use hierarchical rules from official filing codes, issuer descriptions, fund documents, benchmark names and holdings.
- Maintain an open internal taxonomy mapped to public SIC/NACE/NAICS-like codes; do not redistribute proprietary GICS/ICB content without rights.
- Produce candidate classifications, confidence, evidence and alternatives.
- Support human override with valid-from/to history.
- Classify special structures such as banks, insurers, REITs, BDCs, SPACs, ETFs, leveraged/inverse and funds-of-funds.","- ISSUE-0082 identity.
- SEC/Companies House industry codes, NACE and issuer documents.","- Every enabled instrument has a supported class or explicit unresolved state.
- A sector adapter is not used below its confidence threshold.
- Overrides invalidate dependent scores and are historically versioned.
- Accuracy is measured on a labelled fixture set.","- Labelled classification corpus.
- Ambiguous-entity tests.
- Override/history tests.
- Proprietary-taxonomy scan.",Universe editor and Instrument header show evidence and override controls.,No opaque generative classifier may change authority without human review; private descriptions remain local.,ISSUE-0082,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0084,"Build corporate-action, total-return and currency-normalisation services",Data programme,P0,High,"Price series can be wrong across splits, dividends, spin-offs, rights, mergers and currency changes.","Fundamental returns, backtests and portfolio accounting require consistent raw and total-return views.","- Store raw OHLCV and corporate actions separately.
- Build adjusted-price and total-return series from explicit actions with provider reconciliation.
- Handle splits, cash/stock dividends, capital gains, rights, spin-offs, mergers, symbol/currency changes and declared withholding assumptions.
- Create base/local currency return views using point-in-time FX.
- Expose adjustment provenance and never overwrite raw prices.","- Official issuer/exchange/broker imports, yfinance best-effort actions and ECB/local FX sources.
- ISSUE-0082 identity.","- Adjustment factors reconcile to actions.
- Backtests/accounting use declared total-return conventions.
- Provider discrepancies are visible and quarantined above tolerance.
- Currency conversions use dated source-linked rates.","- Synthetic corporate-action cases.
- Cross-provider discrepancy tests.
- Dividend/FX accounting tests.
- Round-trip adjustment tests.","Price chart can switch raw, adjusted, total return and local/base currency.",Corrections are append-only; source documents and broker statements are retained.,ISSUE-0073; ISSUE-0082,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0085,"Implement exchange calendars, sessions, holidays, auctions and market-state service",Data programme,P0/P1,High,"Generic weekday logic causes stale-data, horizon and execution errors across global markets.",Correct availability and next-session execution require listing-specific sessions and timezones.,"- Use an audited calendar library such as exchange_calendars behind an internal service.
- Map listings to MIC, calendar and timezone.
- Model holidays, early closes, DST, auctions, settlement days and exceptional closures.
- Version manual corrections and provide unknown-calendar fail-closed state.
- Expose next valid decision and execution timestamps.","- ISO MIC.
- exchange_calendars or equivalent permissive library after intake.","- Business-day horizons use the correct listing calendar.
- Orders never execute outside supported sessions.
- Staleness is measured in expected sessions, not generic weekdays.
- Historical calendar corrections are reproducible.","- DST/early-close fixtures.
- Cross-market holiday tests.
- Unknown-MIC tests.
- Next-open integration tests.","Instrument and order views show market state, timezone and next session.",Calendar overrides are audited and cannot retroactively alter completed decisions.,ISSUE-0082; ISSUE-0079,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0086,"Create user, broker and exchange historical price, position and transaction import pipelines",Data programme,P0,High,There is no globally complete lawful free-unlimited market-data feed.,Quota-independent operation therefore requires robust local import as a first-class source.,"- Support CSV, Parquet, OFX/QIF where suitable and broker-specific statement templates through plugins.
- Map symbols, listings and currencies to canonical IDs.
- Preview schema, units, dates, duplicates, gaps and corporate actions before commit.
- Store raw files, mapping decisions and checksums.
- Allow incremental append, correction and rollback.","- ISSUE-0082 identity.
- User-owned or lawfully exported broker/exchange files.","- Imports are idempotent and reconcile balances/row counts.
- Unknown fields or instruments enter review rather than guessed mappings.
- Imported data can satisfy mandatory price/accounting requirements.
- Template versions are tracked.","- Golden broker fixtures.
- Malformed/duplicate/locale tests.
- Round-trip tests.
- Large-file tests.","Import Centre offers a mapping wizard, preview diff and reconciliation report.","Spreadsheet-injection protection, archive/path limits, PII redaction and encrypted-backup support.",ISSUE-0036; ISSUE-0082,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0087,Expand official filing discovery and ingestion across supported jurisdictions,Data programme,P0/P1,Moderate,US and selected European filing support do not cover the intended stock universe.,Long-term company analysis needs official statements and publication times wherever available.,"- Create jurisdiction adapters using ESEF/OAM/national bulk sources.
- Prioritise UK Companies House company/accounts products, Nordic/EU OAMs and filings.xbrl.org-compatible records.
- Store raw filing packages, amendments and source terms.
- Define supported-jurisdiction coverage and manual-import fallback.
- Do not scrape inaccessible or prohibited sources.","- SEC EDGAR bulk.
- Companies House monthly/daily bulk.
- ESEF/OAM sources.
- ISSUE-0081.","- Every supported jurisdiction has tested discovery, raw archive, identity mapping and unavailable states.
- Publication/availability times are captured.
- Coverage metrics are visible by country and instrument.
- Manual official filing import provides a no-quota fallback.","- Real official fixtures.
- Jurisdiction conformance tests.
- Terms/robots tests.
- Amendment/identity tests.",Filings workspace includes jurisdiction coverage and a manual acquisition queue.,"Host allow-list, fair-access scheduler, parser sandbox and immutable raw evidence.",UPDATEV2-0012; UPDATEV2-0014; ISSUE-0081,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0088,"Build a versioned macro, factor, risk-free and benchmark data warehouse",Data programme,P0/P1,High,Macro context and factor benchmarks are fragmented and often current-only.,"Expected-return, risk, regime and attribution calculations require consistent dated reference series.","- Ingest and snapshot Eurostat, World Bank, ECB, US Treasury and selected public central-bank/statistical data.
- Ingest Kenneth French and AQR research-factor files with methodology and revision history.
- Create canonical units, frequency, country, currency, release/vintage and transformation metadata.
- Build risk-free curves/proxies by currency and horizon.
- Never use current revised values in historical tests.","- Official public datasets and downloadable research-factor files.
- ISSUE-0081; ISSUE-0073.","- Datasets are locally replayable and independently updateable.
- Historical regimes and excess returns use decision-time vintages.
- Transformations are versioned and reversible.
- Missing country/currency series yield explicit unavailable states.","- Source-parser fixtures.
- Vintage leakage tests.
- Unit/frequency conversion tests.
- Revision-diff tests.","Macro/Factors workspace, Data Health and benchmark selectors.",Terms/licence metadata and content hashes; no redistribution beyond permitted terms.,ISSUE-0080; ISSUE-0081; ISSUE-0073,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0089,"Implement data anomaly detection, quarantine and cross-source reconciliation",Data programme,P0,High,"Invalid spikes, stale rows, unit errors, identity mistakes and provider disagreements can contaminate every calculation.",Institutional discipline requires bad data to be stopped before scoring or orders.,"- Define schema, range, continuity, OHLC, volume, unit, currency, duplicate, action and cross-source checks.
- Assign pass, warn, quarantine and block states with metric-specific tolerances.
- Maintain candidate values and deterministic source-selection rules.
- Create human review and resolution records.
- Propagate quality and uncertainty into features and authority.","- UPDATEV2-0021 conflict resolver.
- ISSUE-0073; ISSUE-0082; ISSUE-0084.","- Quarantined data never enter canonical views.
- Resolved conflicts retain original candidates and decision evidence.
- Quality changes invalidate downstream artefacts.
- Data Health reports coverage, anomalies and unresolved impact.","- Fault-injection/property tests.
- Unit/currency mix-up fixtures.
- Provider disagreement tests.
- Resolution replay tests.","Data Health triage queue with diffs, sources and affected-result views.","Resolution permissions, append-only audit and safe raw-file handling.",UPDATEV2-0021; ISSUE-0073,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0090,"Create a data catalogue, lineage graph and reproducible dataset snapshots",Data programme,P0/P1,High,Users and models cannot inspect the complete path from raw source to derived result.,"Trust, cache invalidation and reproducibility require dataset-level lineage and quality contracts.","- Register every raw/clean/derived table with schema, owner, source, licence, update schedule, partitions, row counts and quality.
- Create immutable dataset snapshot IDs and dependency edges.
- Generate data dictionaries and impact analysis.
- Expose retention, compaction and stale/orphan artefacts.
- Integrate lineage with jobs and model runs.",- ISSUE-0072; ISSUE-0075; ISSUE-0089.,"- Every result links to a complete upstream snapshot graph.
- Impact analysis identifies artefacts affected by a source or formula change.
- The catalogue is generated rather than manually duplicated.
- Orphaned or incompatible datasets are flagged.","- Lineage completeness tests.
- Schema-drift tests.
- Impact/invalidation tests.
- Catalogue/export tests.",Data Catalogue and per-instrument provenance explorer.,"Licence/PII classifications, access controls and redacted public exports.",ISSUE-0072; ISSUE-0075,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0091,"Normalise multi-period financial statements, amendments and restatements",Stock analysis,P0,High,Raw XBRL concepts and yfinance fields are not a stable cross-company statement model.,"All deeper stock metrics depend on comparable, point-in-time income, balance-sheet and cash-flow histories.","- Create canonical statement concepts with taxonomy/source mappings while retaining extensions.
- Handle fiscal calendars, durations, instant facts, dimensions, units, currencies and duplicate contexts.
- Build reported, latest-restated and as-known-at-date views.
- Store mapping confidence and manual review.
- Reconcile statement and cash-flow identities within declared tolerances.","- SEC, ESEF and Companies House official facts.
- Arelle.
- ISSUE-0073; ISSUE-0087.","- At least five annual and twelve quarterly periods are assembled where filings permit.
- Restatements never overwrite prior as-known facts.
- Statement identities and mapping coverage are reported.
- Unsupported concepts remain visible and excluded.","- Real filing corpus.
- Fiscal-calendar/unit/dimension tests.
- Restatement leakage tests.
- Reconciliation tests.",Fundamentals shows reported versus restated histories and mapping coverage.,Raw filings remain immutable; parser version and concept/source evidence are retained.,UPDATEV2-0012; ISSUE-0073,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0092,"Add profitability, margin durability, earnings quality and accrual analysis",Stock analysis,P0/P1,Moderate,Current stock quality uses a few point-in-time ratios and fixed thresholds.,"Long-term investors need persistent profitability and the quality of reported earnings, not only headline margins.","- Calculate gross, operating and net margins; ROA, ROE and ROIC; cash conversion; accruals; exceptional-item dependence; and margin stability.
- Use trailing and multi-year distributions, sector-relative percentiles and company-history robust scores.
- Distinguish negative, missing and structurally inapplicable metrics.
- Implement Piotroski-style and accrual-quality evidence as transparent components rather than branded black boxes.
- Delegate financial institutions and other special sectors to adapters.","- ISSUE-0091 statements.
- ISSUE-0098 peer cohorts.","- Every component exposes formula, period, peer group, coverage and uncertainty.
- No universal threshold is used where sector economics differ.
- Restated and as-known variants are reproducible.
- Component contributions reconcile to the canonical score.","- Formula/golden tests.
- Sector-applicability tests.
- Missing/negative tests.
- Monotonicity tests.",Profitability and Earnings Quality panels with histories and peer percentiles.,No metric is inferred from unavailable line items; source lineage is mandatory.,ISSUE-0091; ISSUE-0074,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0093,"Add balance-sheet strength, liquidity, leverage and distress analysis",Stock analysis,P0/P1,Moderate,Debt/equity alone is insufficient and inapplicable across several sectors.,"Capital structure, maturity and liquidity determine survival and downside risk over long horizons.","- Calculate net debt, debt maturity buckets, interest/fixed-charge cover, current/quick ratios, working capital and covenant proxies.
- Add transparent Altman/Ohlson-like distress evidence only for applicable sectors.
- Track leases, pension deficits, guarantees and off-balance-sheet commitments where disclosed.
- Stress refinancing rates, revenue/margin shocks and FX debt.
- Use separate rules for banks, insurers and utilities.",- ISSUE-0091; ISSUE-0098; ISSUE-0115.,"- Metrics are sector-applicable and source-linked.
- Stress results show assumptions and confidence.
- Unavailable maturities/commitments reduce confidence rather than becoming zero.
- Distress labels remain probabilistic/contextual.","- Formula/applicability tests.
- Stress tests.
- Unit/currency tests.
- Missing-commitment tests.",Balance Sheet and Solvency panels with maturity timeline and scenarios.,Sensitive imported debt schedules stay local; no unsupported credit-rating claim is made.,ISSUE-0091,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0094,"Add cash-flow quality, capital allocation, shareholder yield and dilution analysis",Stock analysis,P0/P1,Moderate,"Current analysis does not fully separate operating cash generation from financing, acquisitions or dilution.",Long-term returns depend on how management converts earnings and deploys capital.,"- Calculate operating cash conversion, maintenance/growth capex proxies, free cash flow, acquisition spend, dividends, buybacks, issuance and stock compensation.
- Compute net shareholder yield and per-share versus aggregate growth.
- Track payout safety, buyback timing/valuation and serial dilution.
- Separate recurring and one-off financing flows.
- Use rolling history and sector applicability.",- ISSUE-0091; ISSUE-0084.,"- Per-share and total-company measures are both visible.
- Share-count and corporate-action history reconcile.
- Cash-flow gaps reduce confidence.
- Capital-allocation components are decomposable and peer-relative.","- Cash-flow identity tests.
- Split/share-count tests.
- Dilution/buyback fixtures.
- Missing-capex tests.",Cash Flow and Capital Allocation panels with waterfall and history.,"Maintenance-capex estimates are labelled as estimates, never reported facts.",ISSUE-0091; ISSUE-0084,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
