category,name,url,use,quality
Open source,Microsoft Qlib,https://github.com/microsoft/qlib,"MIT quantitative research workflow, data/model/backtest architecture and rolling research patterns.",Primary software source / High
Open source,QuantConnect LEAN,https://github.com/QuantConnect/Lean,Apache-2 event-driven backtest/live engine candidate; best isolated as a service if selected.,Primary software source / High
Open source,NautilusTrader,https://github.com/nautechsystems/nautilus_trader,LGPL event-driven research/live parity engine candidate with Python control plane.,Primary software source / High
Open source,Riskfolio-Lib,https://github.com/dcajasn/Riskfolio-Lib,"Permissively licensed portfolio optimisation, risk parity, hierarchical and tail-risk methods.",Primary software source / High
Open source,skfolio,https://github.com/skfolio/skfolio,"scikit-learn-style portfolio optimisation, validation and model selection patterns.",Primary software source / High
Open source,PyPortfolioOpt,https://github.com/PyPortfolio/PyPortfolioOpt,"MIT expected-return, covariance, Black–Litterman, HRP and discrete-allocation implementation.",Primary software source / High
Open source,Darts,https://github.com/unit8co/darts,"Apache-2 common forecasting, historical forecasts, probabilistic and conformal methods.",Primary software source / High
Open source,MLflow,https://github.com/mlflow/mlflow,"Apache-2 local experiment tracking, model evaluation and registry.",Primary software source / High
Open source,Optuna,https://github.com/optuna/optuna,"MIT bounded hyperparameter optimisation, pruning, parallel studies and dashboard.",Primary software source / High
Open source,Ghostfolio,https://github.com/ghostfolio/ghostfolio,"AGPL portfolio accounting/import, self-hosting and responsive wealth-management UX patterns.",Primary software source / High
Open source,Portfolio Performance,https://github.com/portfolio-performance/portfolio,"EPL desktop accounting, transaction import, performance and trade-calendar patterns.",Primary software source / High
Forecast research,TimesFM: A decoder-only foundation model for time-series forecasting,https://arxiv.org/abs/2310.10688,General zero-shot forecasting evidence; indirect evidence for equity-return prediction.,"Primary paper / Moderate, indirect"
Forecast software,TimesFM repository,https://github.com/google-research/timesfm,"Current open implementation, model interfaces, weights and licence facts.",Primary software source / High
Forecast research,Toto: Time Series Optimized Transformer for Observability,https://arxiv.org/abs/2505.14766,General and observability time-series foundation-model evidence; indirect to finance.,"Primary paper / Moderate, indirect"
Forecast software,Toto repository,https://github.com/DataDog/toto,"Current open implementation, model and licence facts.",Primary software source / High
Research governance,"Harvey, Liu and Zhu — …and the Cross-Section of Expected Returns",https://doi.org/10.1093/rfs/hhv059,Multiple-testing hurdle and factor-zoo caution.,Peer-reviewed empirical / Moderate–High
Research governance,Chen — Most claimed statistical findings in cross-sectional return prediction are likely true,https://arxiv.org/abs/2206.15365,Credible contradictory reanalysis arguing lower false-discovery rates; prevents one-sided factor-zoo conclusions.,Working paper / Moderate
Research governance,Bailey et al. — The Probability of Backtest Overfitting,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2326253,CSCV/PBO framework for strategy-selection overfitting.,Methodological paper / Moderate–High
Research governance,Bailey and López de Prado — The Deflated Sharpe Ratio,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2460551,"Adjustment for non-normality, selection bias and multiple trials.",Methodological paper / Moderate–High
Risk research,"Ledoit and Wolf — Honey, I Shrunk the Sample Covariance Matrix",https://doi.org/10.3905/jpm.2004.110,Shrinkage covariance estimation for unstable high-dimensional portfolios.,Peer-reviewed method / High
Portfolio research,"DeMiguel, Garlappi and Uppal — Optimal Versus Naive Diversification",https://doi.org/10.1093/rfs/hhm075,Shows estimation error can make 1/N difficult to beat; mandates naive baselines.,Peer-reviewed empirical / High
Portfolio research,Rockafellar and Uryasev — Optimization of Conditional Value-at-Risk,https://doi.org/10.21314/JOR.2000.038,Convex expected-shortfall/CVaR portfolio optimisation.,Peer-reviewed method / High
Factor research,Fama and French — A five-factor asset pricing model,https://doi.org/10.1016/j.jfineco.2014.10.010,"Market, size, value, profitability and investment factor framework.",Peer-reviewed empirical / High
Factor research,Novy-Marx — The other side of value: gross profitability premium,https://doi.org/10.1016/j.jfineco.2013.01.003,Profitability evidence and factor construction.,Peer-reviewed empirical / High
Factor research,"Hou, Xue and Zhang — Digesting anomalies: an investment approach",https://doi.org/10.1093/rfs/hhu068,q-factor investment/profitability framework and anomaly comparison.,Peer-reviewed empirical / High
Factor research,"Asness, Frazzini and Pedersen — Quality Minus Junk",https://doi.org/10.1093/rfs/hhy063,Transparent quality-factor construction and international evidence.,Peer-reviewed empirical / Moderate–High
Factor research,Frazzini and Pedersen — Betting Against Beta,https://doi.org/10.1016/j.jfineco.2013.10.005,Low-beta/leverage-constraint factor evidence.,Peer-reviewed empirical / Moderate–High
Publication bias,McLean and Pontiff — Does Academic Research Destroy Stock Return Predictability?,https://doi.org/10.1111/jofi.12365,Out-of-sample and post-publication anomaly decay; publication/data-mining caution.,Peer-reviewed empirical / High
