source_record_id,source_kind,source_file,source_title,canonical_id,canonical_title,classification,ledger_state,package_status,programme_status,priority,owner,phase,dependency_candidates,blocking_dependencies,required_inputs,activation_dependencies,downstream_issues,related_issues,discrepancy
ISSUE-0024,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"Earnings, dividends and event calendar",ISSUE-0024,"Earnings, dividends and event calendar",current_open_retained,open,Open,implemented_initially,P1/P2,programme-governance,phase-01-governance-scope,ISSUE-0073;ISSUE-0084;ISSUE-0085;ISSUE-0130,,,,ISSUE-0163,ISSUE-0073;ISSUE-0084;ISSUE-0085;ISSUE-0130,
ISSUE-0025,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Free news and filings dashboard,ISSUE-0025,Free news and filings dashboard,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1,data-and-evidence,phase-02-data-policy-identity,ISSUE-0007;ISSUE-0054;ISSUE-0087;ISSUE-0149,,,,,ISSUE-0007;ISSUE-0054;ISSUE-0087;ISSUE-0149,
ISSUE-0026,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Macro regime dashboard,ISSUE-0026,Macro regime dashboard,current_open_retained,open,Open,implemented_initially,P1/P2,programme-governance,phase-01-governance-scope,ISSUE-0073;ISSUE-0088;ISSUE-0115,,,,,ISSUE-0073;ISSUE-0088;ISSUE-0115,
ISSUE-0027,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Forecast lab page,ISSUE-0027,Forecast lab page,current_open_retained,open,Open,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0117;ISSUE-0124;ISSUE-0139,,,,ISSUE-0117,ISSUE-0117;ISSUE-0124;ISSUE-0139,
ISSUE-0028,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Backtest lab upgrade,ISSUE-0028,Backtest lab upgrade,current_open_retained,open,Open,implemented_initially,P0/P1,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0120;ISSUE-0125;ISSUE-0128,,,,ISSUE-0125,ISSUE-0120;ISSUE-0125;ISSUE-0128,
ISSUE-0029,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Strategy template builder,ISSUE-0029,Strategy template builder,current_open_retained,open,Open,planned,P1/P2,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0074;ISSUE-0075;ISSUE-0130,,,,,ISSUE-0074;ISSUE-0075;ISSUE-0130,
ISSUE-0030,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Decision journal,ISSUE-0030,Decision journal,current_open_retained,open,Open,implemented_initially,P0/P1,frontend-and-api,phase-08-frontend-api,ISSUE-0010;ISSUE-0057;ISSUE-0129;ISSUE-0147,,,,,ISSUE-0010;ISSUE-0057;ISSUE-0129;ISSUE-0147,
ISSUE-0031,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Paper trading module,ISSUE-0031,Paper trading module,current_open_retained,open,Open,integrated,P1,trading-safety,phase-07-backtest-paper-execution,ISSUE-0125;ISSUE-0127;ISSUE-0130,,,,ISSUE-0129,ISSUE-0125;ISSUE-0127;ISSUE-0130,
ISSUE-0032,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Future broker-execution architecture document only,ISSUE-0032,Future broker-execution architecture document only,current_open_retained,open,Open,planned,P2,trading-safety,phase-07-backtest-paper-execution,ISSUE-0070;ISSUE-0131;ISSUE-0135,,,,ISSUE-0070,ISSUE-0070;ISSUE-0131;ISSUE-0135,
ISSUE-0033,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Alerts and review reminders,ISSUE-0033,Alerts and review reminders,current_open_retained,open,Open,planned,P2,programme-governance,phase-01-governance-scope,ISSUE-0024;ISSUE-0077;ISSUE-0132;ISSUE-0135,,,,,ISSUE-0024;ISSUE-0077;ISSUE-0132;ISSUE-0135,
ISSUE-0034,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,What changed since last run page,ISSUE-0034,What changed since last run page,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0075;ISSUE-0090;ISSUE-0116;ISSUE-0134,,,,,ISSUE-0075;ISSUE-0090;ISSUE-0116;ISSUE-0134,
ISSUE-0035,local,issues/open.md and issues/closed.md,Data health centre,ISSUE-0035,Data health centre,local_only_closed,closed,Closed 2026-07-13,closed,P3,data-and-evidence,phase-01-governance-scope,,,,,,,
ISSUE-0036,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Import/export centre,ISSUE-0036,Import/export centre,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1/P2,programme-governance,phase-01-governance-scope,ISSUE-0081;ISSUE-0086;ISSUE-0127;ISSUE-0146,,,,ISSUE-0086,ISSUE-0081;ISSUE-0086;ISSUE-0127;ISSUE-0146,
ISSUE-0037,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Config editor UI,ISSUE-0037,Config editor UI,current_open_retained,open,Open,integrated,P1/P2,frontend-and-api,phase-08-frontend-api,ISSUE-0075;ISSUE-0076;ISSUE-0144,,,,ISSUE-0176,ISSUE-0075;ISSUE-0076;ISSUE-0144,
ISSUE-0038,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Local database / storage migration plan,ISSUE-0038,Local database / storage migration plan,current_open_retained,open,Open,integrated,P2,data-and-evidence,phase-02-data-policy-identity,ISSUE-0072;ISSUE-0073;ISSUE-0090,,,,ISSUE-0072,ISSUE-0072;ISSUE-0073;ISSUE-0090,
ISSUE-0039,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Performance and caching audit,ISSUE-0039,Performance and caching audit,current_open_retained,open,"Open, partial",in_progress,P1/P2,platform-and-operations,phase-01-governance-scope,ISSUE-0077;ISSUE-0078;ISSUE-0151,,,,ISSUE-0175,ISSUE-0077;ISSUE-0078;ISSUE-0151,
ISSUE-0040,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Error handling and recovery centre,ISSUE-0040,Error handling and recovery centre,current_open_retained,open,"Open, partial",in_progress,P1,platform-and-operations,phase-01-governance-scope,ISSUE-0077;ISSUE-0089;ISSUE-0135;ISSUE-0146,,,,,ISSUE-0077;ISSUE-0089;ISSUE-0135;ISSUE-0146,
ISSUE-0041,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"Accessibility, responsive layout and table usability",ISSUE-0041,"Accessibility, responsive layout and table usability",current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1/P2,frontend-and-api,phase-08-frontend-api,ISSUE-0137;ISSUE-0140;ISSUE-0143,,,,,ISSUE-0137;ISSUE-0140;ISSUE-0143,
ISSUE-0042,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"Charts, tables and CSV export improvements",ISSUE-0042,"Charts, tables and CSV export improvements",current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1/P2,frontend-and-api,phase-08-frontend-api,ISSUE-0090;ISSUE-0138;ISSUE-0147,,,,,ISSUE-0090;ISSUE-0138;ISSUE-0147,
ISSUE-0043,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"User manual, glossary and in-app explanations",ISSUE-0043,"User manual, glossary and in-app explanations",current_open_retained,open,Open,planned,P2,frontend-and-api,phase-08-frontend-api,ISSUE-0148;ISSUE-0149,,,,ISSUE-0148,ISSUE-0148;ISSUE-0149,
ISSUE-0044,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"Backup, restore, version and changelog",ISSUE-0044,"Backup, restore, version and changelog",current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1/P2,platform-and-operations,phase-01-governance-scope,ISSUE-0145;ISSUE-0146,,,,ISSUE-0146,ISSUE-0145;ISSUE-0146,
ISSUE-0045,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,UI semantic locators and visual smoke tests,ISSUE-0045,UI semantic locators and visual smoke tests,current_open_retained,open,"Open, partial",in_progress,P1,frontend-and-api,phase-08-frontend-api,ISSUE-0136;ISSUE-0143,,,,,ISSUE-0136;ISSUE-0143,
ISSUE-0046,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Monthly decision template: basket vs benchmark vs cash,ISSUE-0046,Monthly decision template: basket vs benchmark vs cash,current_open_retained,open,Open,planned,P1/P2,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0108;ISSUE-0112;ISSUE-0115;ISSUE-0130,,,,,ISSUE-0108;ISSUE-0112;ISSUE-0115;ISSUE-0130,
ISSUE-0047,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Feature-driver explanations for every evidence component,ISSUE-0047,Feature-driver explanations for every evidence component,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0074;ISSUE-0098;ISSUE-0138,,,,,ISSUE-0074;ISSUE-0098;ISSUE-0138,
ISSUE-0048,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Strategy complexity and overfitting penalty metadata,ISSUE-0048,Strategy complexity and overfitting penalty metadata,current_open_retained,open,Open,integrated,P1,data-and-evidence,phase-02-data-policy-identity,ISSUE-0120;ISSUE-0122;ISSUE-0147,,,,,ISSUE-0120;ISSUE-0122;ISSUE-0147,
ISSUE-0049,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"Worst-day, loss-cluster and tail-event diagnostics",ISSUE-0049,"Worst-day, loss-cluster and tail-event diagnostics",current_open_retained,open,Open,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0111;ISSUE-0115;ISSUE-0128,,,,,ISSUE-0111;ISSUE-0115;ISSUE-0128,
ISSUE-0050,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Operational evidence panel for next-open/decision-price realism,ISSUE-0050,Operational evidence panel for next-open/decision-price realism,current_open_retained,open,Open,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0085;ISSUE-0125;ISSUE-0128;ISSUE-0134,,,,ISSUE-0125,ISSUE-0085;ISSUE-0125;ISSUE-0128;ISSUE-0134,
ISSUE-0051,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Cash proxy and risk-free/defensive comparison everywhere relevant,ISSUE-0051,Cash proxy and risk-free/defensive comparison everywhere relevant,current_open_retained,open,Open,planned,P1/P2,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0088;ISSUE-0112,,,,ISSUE-0112,ISSUE-0088;ISSUE-0112,
ISSUE-0052,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Correlation clustering and factor-crowding warnings,ISSUE-0052,Correlation clustering and factor-crowding warnings,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0105;ISSUE-0110;ISSUE-0113;ISSUE-0115,,,,ISSUE-0110,ISSUE-0105;ISSUE-0110;ISSUE-0113;ISSUE-0115,
ISSUE-0053,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,What matters today digest,ISSUE-0053,What matters today digest,current_open_retained,open,Open,planned,P1/P2,programme-governance,phase-01-governance-scope,ISSUE-0033;ISSUE-0034;ISSUE-0139,,,,,ISSUE-0033;ISSUE-0034;ISSUE-0139,
ISSUE-0054,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Point-in-time news/sentiment validation rules,ISSUE-0054,Point-in-time news/sentiment validation rules,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1/P2,data-and-evidence,phase-02-data-policy-identity,ISSUE-0025;ISSUE-0073;ISSUE-0149,,,,,ISSUE-0025;ISSUE-0073;ISSUE-0149,
ISSUE-0055,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,"Optional free provider research/stubs: SEC EDGAR, FRED, Stooq, RSS",ISSUE-0055,"Optional free provider research/stubs: SEC EDGAR, FRED, Stooq, RSS",current_open_retained,open,Implementation complete; closure pending,implemented_initially,P2,data-and-evidence,phase-02-data-policy-identity,ISSUE-0080;ISSUE-0081;ISSUE-0087;ISSUE-0088,,,,,ISSUE-0080;ISSUE-0081;ISSUE-0087;ISSUE-0088,
ISSUE-0056,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Data-frequency suitability and unsupported-asset guardrails,ISSUE-0056,Data-frequency suitability and unsupported-asset guardrails,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P2,data-and-evidence,phase-02-data-policy-identity,ISSUE-0076;ISSUE-0085;ISSUE-0130,,,,,ISSUE-0076;ISSUE-0085;ISSUE-0130,
ISSUE-0057,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Paper/forward evidence diary,ISSUE-0057,Paper/forward evidence diary,current_open_retained,open,Open,integrated,P1,trading-safety,phase-07-backtest-paper-execution,ISSUE-0075;ISSUE-0129;ISSUE-0147,,,,ISSUE-0129,ISSUE-0075;ISSUE-0129;ISSUE-0147,
ISSUE-0058,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Closed-source/promotional-claim detector for imported notes,ISSUE-0058,Closed-source/promotional-claim detector for imported notes,current_open_retained,open,Open,planned,P2,programme-governance,phase-01-governance-scope,ISSUE-0010;ISSUE-0149,,,,,ISSUE-0010;ISSUE-0149,
ISSUE-0059,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Benchmark-relative sector/theme attribution beyond single benchmark beta,ISSUE-0059,Benchmark-relative sector/theme attribution beyond single benchmark beta,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1/P2,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0105;ISSUE-0110;ISSUE-0116,,,,ISSUE-0110;ISSUE-0112;ISSUE-0116,ISSUE-0105;ISSUE-0110;ISSUE-0116,
ISSUE-0060,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Strategy rejection tests,ISSUE-0060,Strategy rejection tests,current_open_retained,open,Open,implemented_initially,P1,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0008;ISSUE-0070;ISSUE-0132;ISSUE-0133,,,,ISSUE-0070,ISSUE-0008;ISSUE-0070;ISSUE-0132;ISSUE-0133,
ISSUE-0061,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Pair-trading/cointegration research-only module,ISSUE-0061,Pair-trading/cointegration research-only module,current_open_retained,open,"Open, research-only",research_only,P3,programme-governance,phase-01-governance-scope,ISSUE-0120;ISSUE-0128,,,,,ISSUE-0120;ISSUE-0128,
ISSUE-0062,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Triple-barrier and purged-CV research-only module,ISSUE-0062,Triple-barrier and purged-CV research-only module,current_open_retained,open,"Open, research-only",research_only,P3,programme-governance,phase-01-governance-scope,ISSUE-0119;ISSUE-0120,,,,,ISSUE-0119;ISSUE-0120,
ISSUE-0063,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Close-based quality-momentum next-open template hardening,ISSUE-0063,Close-based quality-momentum next-open template hardening,current_open_retained,open,Open,integrated,P1,programme-governance,phase-01-governance-scope,ISSUE-0092;ISSUE-0098;ISSUE-0125;ISSUE-0129,,,,,ISSUE-0092;ISSUE-0098;ISSUE-0125;ISSUE-0129,
ISSUE-0064,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Friction-adjusted return estimate per evidence score,ISSUE-0064,Friction-adjusted return estimate per evidence score,current_open_retained,open,Implementation complete; closure pending,integrated,P1,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0108;ISSUE-0128,,,,ISSUE-0128,ISSUE-0108;ISSUE-0128,
ISSUE-0065,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Payoff-profile classification and risk/reward asymmetry display,ISSUE-0065,Payoff-profile classification and risk/reward asymmetry display,current_open_retained,open,Open,implemented_initially,P2,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0049;ISSUE-0111;ISSUE-0125,,,,,ISSUE-0049;ISSUE-0111;ISSUE-0125,
ISSUE-0066,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Source-of-truth and reconciliation architecture for future execution,ISSUE-0066,Source-of-truth and reconciliation architecture for future execution,current_open_retained,open,Open,planned,P2,trading-safety,phase-07-backtest-paper-execution,ISSUE-0070;ISSUE-0127;ISSUE-0131;ISSUE-0135,,,,ISSUE-0070;ISSUE-0131,ISSUE-0070;ISSUE-0127;ISSUE-0131;ISSUE-0135,
ISSUE-0067,local,issues/open.md and issues/closed.md,Local score history and per-instrument score evolution mini charts,ISSUE-0067,Local score history and per-instrument score evolution mini charts,local_only_current,open,"Open, implementation complete through Wave 4 Task 17 / PR 187; ordinary product tests and release checks remain pending. Historical generated closure material is not retained in this checkout.",planned,P0/P1,frontend-and-api,phase-01-governance-scope,ISSUE-0034;ISSUE-0047;UPDATEV2-0022,,,,,ISSUE-0034;ISSUE-0047;UPDATEV2-0022,
ISSUE-0068,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Two-tier universe manager and provider policy editor,ISSUE-0068,Two-tier universe manager and provider policy editor,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P0/P1,data-and-evidence,phase-02-data-policy-identity,ISSUE-0076;ISSUE-0080;ISSUE-0082;ISSUE-0083,,,,,ISSUE-0076;ISSUE-0080;ISSUE-0082;ISSUE-0083,
ISSUE-0069,local,issues/open.md and issues/closed.md,Single-file session action logging and diagnostics trace,ISSUE-0069,Single-file session action logging and diagnostics trace,local_only_closed,closed,Closed 2026-07-11,closed,P3,programme-governance,phase-01-governance-scope,,,,,,,
ISSUE-0070,proposed,ETF_AI_Cockpit_New_Issues.csv,"Freeze the final product scope, completion contract and staged execution authority",ISSUE-0070,"Freeze the final product scope, completion contract and staged execution authority",proposed_new,open,,integrated,P0,programme-governance,phase-01-governance-scope,ISSUE-0008;ISSUE-0032;ISSUE-0060;ISSUE-0066,,ISSUE-0008;ISSUE-0032;ISSUE-0060;ISSUE-0066,,ISSUE-0071;ISSUE-0076;ISSUE-0080;ISSUE-0130,,
ISSUE-0071,proposed,ETF_AI_Cockpit_New_Issues.csv,"Refactor into bounded domain, application, infrastructure and presentation modules",ISSUE-0071,"Refactor into bounded domain, application, infrastructure and presentation modules",proposed_new,open,,integrated,P0,programme-governance,phase-01-governance-scope,ISSUE-0070,ISSUE-0070,,,ISSUE-0072;ISSUE-0074;ISSUE-0076;ISSUE-0136,,
ISSUE-0072,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement the hybrid local analytical and transactional data platform,ISSUE-0072,Implement the hybrid local analytical and transactional data platform,proposed_new,open,,integrated,P0,data-platform,phase-01-governance-scope,ISSUE-0038;ISSUE-0071,ISSUE-0038;ISSUE-0071,,,ISSUE-0073;ISSUE-0075;ISSUE-0077;ISSUE-0081;ISSUE-0090;ISSUE-0127,,
ISSUE-0073,proposed,ETF_AI_Cockpit_New_Issues.csv,Implement a bitemporal point-in-time and data-vintage model,ISSUE-0073,Implement a bitemporal point-in-time and data-vintage model,proposed_new,open,,integrated,P0,data-platform,phase-01-governance-scope,ISSUE-0072,ISSUE-0072,,,ISSUE-0074;ISSUE-0082;ISSUE-0084;ISSUE-0088;ISSUE-0089;ISSUE-0091;ISSUE-0119;ISSUE-0126,,
ISSUE-0074,proposed,ETF_AI_Cockpit_New_Issues.csv,Unify all scoring into a canonical score engine v3,ISSUE-0074,Unify all scoring into a canonical score engine v3,proposed_new,open,,integrated,P0,scoring-and-evidence,phase-01-governance-scope,ISSUE-0071;ISSUE-0073,ISSUE-0071;ISSUE-0073,,,ISSUE-0075;ISSUE-0092;ISSUE-0098;ISSUE-0108;ISSUE-0142;ISSUE-0161;ISSUE-0165;ISSUE-0169;ISSUE-0172;ISSUE-0174,,
